Name,Op_type,Time
Conv__217,Conv,487
resnet_model/dense/BiasAdd,Add,0
Conv__190,Conv,0
resnet_model/add_3,Add,0
Conv__160,Conv,0
Conv__162,Conv,348
resnet_model/add_12,Add,0
Conv__154,Conv,0
resnet_model/Relu_22,Relu,0
Conv__153,Conv,0
Conv__140,Conv,506
Conv__175,Conv,0
Conv__147,Conv,257
resnet_model/Relu_10,Relu,0
Conv__167,Conv,0
resnet_model/Relu_33,Relu,0
resnet_model/add_2,Add,0
resnet_model/Squeeze,Squeeze,23
resnet_model/Relu_35,Relu,0
Conv__161,Conv,0
resnet_model/Relu_25,Relu,0
Conv__204,Conv,0
Conv__226,Conv,0
Conv__198,Conv,279
resnet_model/Relu_11,Relu,0
resnet_model/batch_normalization/FusedBatchNorm,BatchNormalization,0
resnet_model/add_11,Add,0
resnet_model/add,Add,0
Conv__205,Conv,273
resnet_model/Relu_45,Relu,0
resnet_model/dense/MatMul,MatMul,0
graph_outputs_Identity__4,Identity,0
Conv__232,Conv,0
resnet_model/Relu_14,Relu,0
resnet_model/add_13,Add,0
Conv__191,Conv,268
resnet_model/Relu_2,Relu,0
resnet_model/Relu_24,Relu,0
resnet_model/Relu_12,Relu,0
softmax_tensor,Softmax,25
resnet_model/Relu_15,Relu,0
resnet_model/Relu_19,Relu,0
resnet_model/Relu_34,Relu,0
resnet_model/Relu_9,Relu,0
Conv__184,Conv,286
resnet_model/Relu_30,Relu,0
resnet_model/Relu_7,Relu,0
Conv__138,Conv,0
Conv__169,Conv,348
Conv__182,Conv,0
resnet_model/add_14,Add,0
Conv__212,Conv,279
Conv__130,Conv,836
resnet_model/add_6,Add,0
resnet_model/Relu_5,Relu,0
Conv__222,Conv,0
Conv__225,Conv,0
resnet_model/Relu_17,Relu,0
Conv__168,Conv,0
resnet_model/Relu_16,Relu,0
resnet_model/Relu_18,Relu,0
resnet_model/add_5,Add,0
resnet_model/Relu_37,Relu,0
resnet_model/Relu_39,Relu,0
Conv__131,Conv,0
resnet_model/add_9,Add,0
resnet_model/Relu_8,Relu,0
Conv__181,Conv,753
resnet_model/Relu_40,Relu,0
Conv__123,Conv,2182
resnet_model/Relu_29,Relu,0
Conv__129,Conv,0
Conv__233,Conv,0
Conv__197,Conv,0
resnet_model/add_8,Add,0
Conv__128,Conv,0
resnet_model/add_10,Add,0
resnet_model/Relu_20,Relu,0
Conv__211,Conv,0
resnet_model/Relu_1,Relu,0
Conv__152,Conv,725
resnet_model/conv2d/Conv2D,Conv,0
Conv__139,Conv,0
resnet_model/Relu_28,Relu,0
Conv__234,Conv,261
Conv__203,Conv,0
Conv__176,Conv,250
Conv__133,Conv,534
resnet_model/final_dense,Identity,0
resnet_model/add_4,Add,0
Conv__210,Conv,0
resnet_model/Relu_38,Relu,0
resnet_model/Relu_23,Relu,0
Conv__189,Conv,0
resnet_model/Relu_43,Relu,0
resnet_model/max_pooling2d/MaxPool,MaxPool,284
resnet_model/Relu_32,Relu,0
graph_outputs_Identity__6,Identity,0
resnet_model/Relu_21,Relu,0
Conv__223,Conv,0
Conv__174,Conv,0
Conv__146,Conv,0
Conv__183,Conv,0
resnet_model/Relu_4,Relu,0
Conv__145,Conv,0
resnet_model/Relu_46,Relu,0
resnet_model/Relu_44,Relu,0
resnet_model/Relu_48,Relu,0
Conv__132,Conv,0
resnet_model/Relu_26,Relu,0
Conv__224,Conv,223
resnet_model/Relu_47,Relu,0
Conv__196,Conv,0
resnet_model/add_7,Add,0
resnet_model/Relu_42,Relu,0
resnet_model/Relu_31,Relu,0
resnet_model/add_1,Add,0
ArgMax,ArgMax,30
Conv__155,Conv,381
reshape__269,Reshape,27
resnet_model/Relu_6,Relu,0
resnet_model/Relu,Relu,0
resnet_model/Relu_41,Relu,0
resnet_model/Relu_27,Relu,0
resnet_model/Mean,ReduceMean,88
resnet_model/Relu_36,Relu,0
resnet_model/Relu_13,Relu,0
resnet_model/add_15,Add,0
Conv__227,Conv,247
resnet_model/Relu_3,Relu,0
